dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,1.0,1.0,0.9632,1.246,216.94,180.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,1.0,1.0,0.9275,1.2056,216.94,180.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,1.0,1.0,1.6605,2.1062,216.94,180.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,1.0,1.0,1.6613,2.133,216.94,180.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,1.0,1.0,1.6454,2.1656,216.94,180.8,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",1,10,1,0.528,0.528,0.1256,0.2139,0.4,104.05,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",1,10,1,0.528,0.528,0.1306,0.2173,0.4,104.05,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",1,10,1,0.528,0.528,0.1262,0.2127,0.4,104.05,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",2,10,0,0.69467,0.69467,0.2315,0.3682,0.4,104.05,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",2,10,0,0.69467,0.69467,0.2384,0.3691,0.4,104.05,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",2,10,0,0.69467,0.69467,0.2429,0.3579,0.4,104.05,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",4,10,0,0.867,0.86767,0.4594,0.6208,0.4,104.05,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",4,10,0,0.867,0.86767,0.4683,0.6289,0.4,104.05,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",4,10,0,0.867,0.86767,0.4752,0.6409,0.4,104.05,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",8,10,0,0.966,0.966,0.8849,1.1597,0.4,104.05,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",8,10,0,0.966,0.966,0.8865,1.1586,0.4,104.05,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",8,10,0,0.966,0.966,0.8958,1.1537,0.4,104.05,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",16,10,0,0.99567,0.99567,1.7126,2.0825,0.4,104.05,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",16,10,0,0.99567,0.99567,1.7347,2.0994,0.4,104.05,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",16,10,0,0.99567,0.99567,1.7054,2.0097,0.4,104.05,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",32,10,0,1.0,1.0,3.4073,3.9249,0.4,104.05,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",32,10,0,1.0,1.0,3.3571,3.8644,0.4,104.05,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",32,10,0,1.0,1.0,3.3741,3.926,0.4,104.05,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",64,10,0,1.0,1.0,6.507,7.0185,0.4,104.05,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",64,10,0,1.0,1.0,6.5337,7.0891,0.4,104.05,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",64,10,0,1.0,1.0,6.6291,7.1635,0.4,104.05,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",128,10,0,1.0,1.0,10.7078,11.3766,0.4,104.05,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",128,10,0,1.0,1.0,11.1297,11.9444,0.4,104.05,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 100}",128,10,0,1.0,1.0,10.9883,11.5757,0.4,104.05,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.30767,0.308,0.0387,0.0797,7.75,104.52,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.30767,0.308,0.0382,0.0664,7.75,104.52,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.30767,0.308,0.0379,0.0833,7.75,104.52,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.44667,0.447,0.0513,0.0918,7.75,104.52,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.44667,0.447,0.0508,0.0949,7.75,104.52,1
