dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.90467,0.91267,0.5314,0.7415,331.82,257.6,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.90467,0.91267,0.5226,0.735,331.82,257.6,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.93133,0.938,0.9758,1.2625,331.82,257.6,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.93133,0.938,0.9669,1.234,331.82,257.6,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.93133,0.938,0.9677,1.2492,331.82,257.6,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,0.95067,0.95767,1.8583,2.2053,331.82,257.6,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,0.95067,0.95767,1.8714,2.2032,331.82,257.6,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,0.95067,0.95767,1.8539,2.2332,331.82,257.6,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,0.97167,0.97967,3.6513,4.1927,331.82,257.6,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,0.97167,0.97967,3.6579,4.2129,331.82,257.6,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,0.97167,0.97967,3.6496,4.6345,331.82,257.6,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.79233,0.8,0.2184,0.3433,827.83,283.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.79233,0.8,0.2141,0.3423,827.83,283.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.79233,0.8,0.2323,0.3697,827.83,283.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.842,0.84833,0.3069,0.462,827.83,283.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.842,0.84833,0.2998,0.469,827.83,283.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.842,0.84833,0.305,0.4622,827.83,283.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.88633,0.89367,0.5184,0.714,827.83,283.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.88633,0.89367,0.5179,0.7214,827.83,283.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.88633,0.89367,0.5264,0.7222,827.83,283.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.921,0.92733,0.956,1.2148,827.83,283.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.921,0.92733,0.9203,1.171,827.83,283.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.921,0.92733,0.9355,1.1772,827.83,283.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.94967,0.95767,1.8047,2.1885,827.83,283.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.94967,0.95767,1.7713,2.1671,827.83,283.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.94967,0.95767,1.7995,2.1654,827.83,283.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,0.972,0.98,3.377,3.9228,827.83,283.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,0.972,0.98,3.4066,3.9298,827.83,283.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,0.972,0.98,3.5524,4.049,827.83,283.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,0.98433,0.993,6.6887,7.4212,827.83,283.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,0.98433,0.993,6.7382,7.4053,827.83,283.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,0.98433,0.993,6.5981,7.3223,827.83,283.2,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",1,10,1,0.47867,0.48233,0.2861,0.5128,0.7,206.5,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",1,10,1,0.47867,0.48233,0.284,0.4894,0.7,206.5,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",1,10,1,0.47867,0.48233,0.2954,0.5104,0.7,206.5,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",2,10,0,0.56433,0.56733,0.5497,0.8157,0.7,206.5,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",2,10,0,0.56433,0.56733,0.538,0.8101,0.7,206.5,1
