dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall,recall_id,recall_std,latency_ms,latency_ms_std,latency_p95_ms,build_seconds,memory_mb
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.15233,0.15233,0.0,0.04623333333333333,0.00025166114784236127,0.07916666666666666,10.07,3.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.156,0.156,0.0,0.056299999999999996,0.00017320508075688567,0.08976666666666666,10.07,3.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.15567,0.15567,0.0,0.07633333333333332,0.0006658328118479305,0.119,10.07,3.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",64,10,0,0.156,0.156,0.0,0.2008,0.0018999999999999957,0.25366666666666665,10.07,3.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",128,10,0,0.156,0.156,0.0,0.34736666666666666,0.001985782801147527,0.43133333333333335,10.07,3.01
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",10,10,1,0.67867,0.67433,0.0,0.07723333333333333,0.0002516611478423582,0.13003333333333333,177.79,232.0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",16,10,0,0.7436700000000002,0.739,0.0,0.10310000000000001,0.0021071307505705437,0.15869999999999998,177.79,232.0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",32,10,0,0.816,0.81033,0.0,0.16916666666666666,0.0030005555041247526,0.2622,177.79,232.0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",64,10,0,0.85367,0.84767,0.0,0.2962666666666666,0.0017559422921421088,0.42156666666666665,177.79,232.0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",128,10,0,0.896,0.8896700000000001,0.0,0.5431333333333334,0.002500666577801472,0.7073999999999999,177.79,232.0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",256,10,0,0.92367,0.91633,0.0,1.0287,0.005071488933242351,1.2447333333333332,177.79,232.0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.952,0.94467,0.0,2.0093666666666667,0.020845223273770367,2.2845666666666666,177.79,232.0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.7559999999999999,0.749,0.0,0.13423333333333334,0.0020033305601755507,0.23030000000000003,331.82,257.6
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.823,0.816,0.0,0.18713333333333335,0.0015176736583776297,0.3057,331.82,257.6
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.8683299999999999,0.8610000000000001,0.0,0.29983333333333334,0.0024027761721253735,0.45303333333333334,331.82,257.6
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.91267,0.90467,0.0,0.5235666666666666,0.007397522107660977,0.7244999999999999,331.82,257.6
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.9380000000000001,0.93133,0.0,0.9701333333333334,0.004923751956926039,1.2485666666666668,331.82,257.6
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,0.9576699999999999,0.95067,0.0,1.8612000000000002,0.009103296106356152,2.2139,331.82,257.6
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,0.97967,0.97167,0.0,3.6529333333333334,0.004384442191811164,4.3467,331.82,257.6
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.8000000000000002,0.7923300000000001,0.0,0.22160000000000002,0.009512623192369186,0.3517666666666666,827.83,283.2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.8483300000000001,0.842,0.0,0.3039,0.003675595189897817,0.4644,827.83,283.2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.8936699999999999,0.88633,0.0,0.5209,0.004769696007084699,0.7192,827.83,283.2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.92733,0.9209999999999999,0.0,0.9372666666666666,0.017915449571063898,1.1876666666666666,827.83,283.2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.9576699999999999,0.9496699999999999,0.0,1.7918333333333336,0.01797145885378624,2.1736666666666666,827.83,283.2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,0.98,0.972,0.0,3.4453333333333336,0.09389618380601715,3.9672,827.83,283.2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,0.993,0.98433,0.0,6.675,0.07104766005999089,7.382933333333334,827.83,283.2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.347,0.3433300000000001,0.0,0.0431,0.001670329308849009,0.07866666666666666,57.13,219.19999999999996
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.45066999999999996,0.44632999999999995,0.0,0.05853333333333333,0.0021939310229205744,0.10136666666666666,57.13,219.19999999999996
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.57133,0.566,0.0,0.10223333333333333,0.0023860706890897676,0.16390000000000002,57.13,219.19999999999996
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.6789999999999999,0.672,0.0,0.18696666666666664,0.004717343885422532,0.2932666666666666,57.13,219.19999999999996
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",128,10,0,0.766,0.7600000000000001,0.0,0.327,0.003487119154832553,0.4765333333333333,57.13,219.19999999999996
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",256,10,0,0.832,0.8243300000000001,0.0,0.5890666666666666,0.004310839052125831,0.7773333333333333,57.13,219.19999999999996
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",512,10,0,0.8729999999999999,0.86267,0.0,1.1103666666666667,0.010770484359272468,1.3025666666666667,57.13,219.19999999999996
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",1,10,1,0.48233,0.47867,0.0,0.2885,0.006067124524846987,0.5042,0.6999999999999998,206.5
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",2,10,0,0.56733,0.56433,0.0,0.5423333333333333,0.006412747721011059,0.8088333333333333,0.6999999999999998,206.5
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",4,10,0,0.63667,0.63367,0.0,1.0159,0.011722201158485495,1.3911,0.6999999999999998,206.5
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",8,10,0,0.72867,0.72533,0.0,1.9990666666666668,0.040481147875688274,2.467233333333333,0.6999999999999998,206.5
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",16,10,0,0.82633,0.82167,0.0,3.8222,0.007810249675906562,4.410966666666667,0.6999999999999998,206.5
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",32,10,0,0.911,0.9053299999999999,0.0,7.664533333333334,0.06248082372483089,8.397933333333334,0.6999999999999998,206.5
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",64,10,0,0.97267,0.9693299999999999,0.0,15.099566666666666,0.09804985126624771,16.075666666666667,0.6999999999999998,206.5
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",128,10,0,1.0,0.99767,0.0,23.48313333333333,0.23228375606859047,24.412266666666667,0.6999999999999998,206.5
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.59233,0.59033,0.0,0.0892,0.007787168933572717,0.14023333333333335,12.6,207.44999999999996
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.6673300000000001,0.665,0.0,0.12523333333333334,0.004445597072760112,0.2043,12.6,207.44999999999996
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.72433,0.72167,0.0,0.1843,0.004613025037868309,0.27876666666666666,12.6,207.44999999999996
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.76567,0.76133,0.0,0.29353333333333337,0.011500144926623023,0.4163666666666667,12.6,207.44999999999996
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.80133,0.79733,0.0,0.5165000000000001,0.01496228592160975,0.6692333333333332,12.6,207.44999999999996
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.83367,0.827,0.0,0.9610333333333334,0.010627480102702359,1.2016333333333333,12.6,207.44999999999996
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",64,10,0,0.87033,0.86333,0.0,1.7121666666666666,0.0204685938289208,1.9794333333333334,12.6,207.44999999999996
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",128,10,0,0.908,0.90333,0.0,3.2165,0.022471982556063117,3.603733333333333,12.6,207.44999999999996
