dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",1,10,1,0.50067,0.50067,0.1065,0.1752,0.28,81.64,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",2,10,0,0.65067,0.65067,0.1961,0.297,0.28,81.64,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",2,10,0,0.65067,0.65067,0.1885,0.2893,0.28,81.64,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",2,10,0,0.65067,0.65067,0.1929,0.2905,0.28,81.64,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",4,10,0,0.77733,0.77733,0.3707,0.4893,0.28,81.64,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",4,10,0,0.77733,0.77733,0.3628,0.4986,0.28,81.64,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",4,10,0,0.77733,0.77733,0.3664,0.4977,0.28,81.64,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",8,10,0,0.86967,0.86967,0.7035,0.8681,0.28,81.64,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",8,10,0,0.86967,0.86967,0.7018,0.8717,0.28,81.64,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",8,10,0,0.86967,0.86967,0.7071,0.8568,0.28,81.64,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",16,10,0,0.93233,0.93233,1.3141,1.5764,0.28,81.64,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",16,10,0,0.93233,0.93233,1.3073,1.5571,0.28,81.64,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",16,10,0,0.93233,0.93233,1.2963,1.55,0.28,81.64,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",32,10,0,0.98033,0.98033,2.5623,2.8998,0.28,81.64,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",32,10,0,0.98033,0.98033,2.5896,2.892,0.28,81.64,1
